period,city,sr,tmin,tmax,rh ,sh,ep,ws,rf
Jan-90,ilorin,13.8,19.9,33.9,75,8,7.2,3.5,0
Feb-90,ilorin,16.7,22.8,35.1,69,7.7,9.5,5.4,18.8
Mar-90,ilorin,18.8,23.9,35.8,71,7.2,8.8,3.9,3.6
Apr-90,ilorin,17,22.8,34.5,72,6.6,7.6,3.6,44.4
May-90,ilorin,15.8,21.9,31.1,79,6.6,4.5,3.5,135.2
Jun-90,ilorin,15,21.7,29.9,81,6.1,3.7,3.1,214.7
Jul-90,ilorin,11.6,20.9,28,85,4.6,3,3.8,123.9
Aug-90,ilorin,12.2,21.1,27.9,85,3,2.5,4,280.1
Sep-90,ilorin,15.1,21.2,29.5,86,4.3,2.5,3.1,214.6
Oct-90,ilorin,15.8,21.8,30.4,82,4.5,2.9,3.3,197.3
Nov-90,ilorin,17,22.2,32.3,75,6.9,5.5,3,2.9
Dec-90,ilorin,15.1,16.4,32,56,7.4,8.1,4.3,1.6
Jan-91,ilorin,14.5,19.2,32.9,56,6.4,9.5,4.3,0.1
Feb-91,ilorin,16.8,22.3,35.7,63,6.2,11.1,4.2,0.1
Mar-91,ilorin,15.9,22.9,35.1,73,4.7,8,4.6,117.7
Apr-91,ilorin,16.4,22.8,33.9,74,6.4,6.6,4.3,86.3
May-91,ilorin,14.1,22.3,32.2,80,7.5,4,4.8,265.8
Jun-91,ilorin,14.8,22.1,30.1,83,5.8,3.5,4.8,225.8
Jul-91,ilorin,12.2,20.9,28.3,86,4.3,3.2,4.3,163.3
Aug-91,ilorin,11.4,20.8,27.9,87,3.5,2.7,4.2,76.8
Sep-91,ilorin,14.1,20.9,29.1,85,3.6,2.7,3.2,252.9
Oct-91,ilorin,14.6,22.2,31,82,6.4,3,3.2,98.3
Nov-91,ilorin,17,19.3,33.3,61,7.9,7.9,3.5,0.1
Dec-91,ilorin,14,20.1,33.9,76,7.2,6.9,4.2,0
Jan-92,ilorin,14.9,20.2,33.1,49,8.3,9.9,3.7,8
Feb-92,ilorin,17.9,22.1,33.9,58,8.4,8.8,3.8,28.9
Mar-92,ilorin,15.6,22.9,35.1,68,7.4,7.7,4.6,22.2
