Year,city,sr,tmin,tmax,rh,sh,ep,ws,rf
Jan-91,ilorin,13.80,19.90,33.90,75.00,8.00,7.20,3.50,0.25
Feb-91,ilorin,16.70,22.80,35.10,69.00,7.70,9.50,5.40,18.80
Mar-91,ilorin,18.80,23.90,35.80,71.00,7.20,8.80,3.90,3.60
Apr-91,ilorin,17.00,22.80,34.50,72.00,6.60,7.60,3.60,44.40
May-91,ilorin,15.80,21.90,31.10,79.00,6.60,4.50,3.50,135.20
Jun-91,ilorin,15.00,21.70,29.90,81.00,6.10,3.70,3.10,214.70
Jul-91,ilorin,11.60,20.90,28.00,85.00,4.60,3.00,3.80,123.90
Aug-91,ilorin,12.20,21.10,27.90,85.00,3.00,2.50,4.00,280.10
Sep-91,ilorin,15.10,21.20,29.50,86.00,4.30,2.50,3.10,214.60
Oct-91,ilorin,15.80,21.80,30.40,82.00,4.50,2.90,3.30,197.30
Nov-91,ilorin,17.00,22.20,32.30,75.00,6.90,5.50,3.00,2.90
Dec-91,ilorin,15.10,16.40,32.00,56.00,7.40,8.10,4.30,1.60
Jan-92,ilorin,14.50,19.20,32.90,56.00,6.40,9.50,4.30,0.25
Feb-92,ilorin,16.80,22.30,35.70,63.00,6.20,11.10,4.20,0.25
Mar-92,ilorin,15.90,22.90,35.10,73.00,4.70,8.00,4.60,117.70
Apr-92,ilorin,16.40,22.80,33.90,74.00,6.40,6.60,4.30,86.30
May-92,ilorin,14.10,22.30,32.20,80.00,7.50,4.00,4.80,265.80
Jun-92,ilorin,14.80,22.10,30.10,83.00,5.80,3.50,4.80,225.80
Jul-92,ilorin,12.20,20.90,28.30,86.00,4.30,3.20,4.30,163.30
Aug-92,ilorin,11.40,20.80,27.90,87.00,3.50,2.70,4.20,76.80
Sep-92,ilorin,14.10,20.90,29.10,85.00,3.60,2.70,3.20,252.90
Oct-92,ilorin,14.60,22.20,31.00,82.00,6.40,3.00,3.20,98.30
Nov-92,ilorin,17.00,19.30,33.30,61.00,7.90,7.90,3.50,0.25
Dec-92,ilorin,14.00,20.10,33.90,76.00,7.20,6.90,4.20,0.25
Jan-93,ilorin,14.90,20.20,33.10,49.00,8.30,9.90,3.70,8.00
Feb-93,ilorin,17.90,22.10,33.90,58.00,8.40,8.80,3.80,28.90
Mar-93,ilorin,15.60,22.90,35.10,68.00,7.40,7.70,4.60,22.20
Apr-93,ilorin,16.30,22.70,33.20,76.00,5.70,6.00,4.10,141.80
May-93,ilorin,16.00,22.50,30.90,81.00,7.30,3.40,3.90,150.60
Jun-93,ilorin,13.00,21.90,30.10,82.00,6.00,3.00,4.20,127.20
Jul-93,ilorin,12.30,20.90,28.20,85.00,3.70,2.80,4.20,76.70
Aug-93,ilorin,11.20,20.70,27.90,84.00,3.60,2.90,3.70,182.50
Sep-93,ilorin,13.20,20.60,29.10,86.00,4.10,2.10,3.80,247.80
Oct-93,ilorin,16.50,21.30,30.00,84.00,5.60,2.20,3.60,229.40
