year,city,sr,tmin,tmax,rh,sh,ep,ws,rf,,,,,,,,,,,,,,,,,,,,,,,
01/01/1991,Ilorin,13.80,19.90,33.90,75.00,8.00,7.20,3.50,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/02/1991,Ilorin,16.70,22.80,35.10,69.00,7.70,9.50,5.40,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/03/1991,Ilorin,18.80,23.90,35.80,71.00,7.20,8.80,3.90,8.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/1991,Ilorin,17.00,22.80,34.50,72.00,6.60,7.60,3.60,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/05/1991,Ilorin,15.80,21.90,31.10,79.00,6.60,4.50,3.50,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/06/1991,Ilorin,15.00,21.70,29.90,81.00,6.10,3.70,3.10,0.80,,,,,,,,,,,,,,,,,,,,,,,
01/07/1991,Ilorin,11.60,20.90,28.00,85.00,4.60,3.00,3.80,5.50,,,,,,,,,,,,,,,,,,,,,,,
01/08/1991,Ilorin,12.20,21.10,27.90,85.00,3.00,2.50,4.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/09/1991,Ilorin,15.10,21.20,29.50,86.00,4.30,2.50,3.10,73.30,,,,,,,,,,,,,,,,,,,,,,,
01/10/1991,Ilorin,15.80,21.80,30.40,82.00,4.50,2.90,3.30,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/11/1991,Ilorin,17.00,22.20,32.30,75.00,6.90,5.50,3.00,18.80,,,,,,,,,,,,,,,,,,,,,,,
01/12/1991,Ilorin,15.10,16.40,32.00,56.00,7.40,8.10,4.30,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/01/1992,Ilorin,14.50,19.20,32.90,56.00,6.40,9.50,4.30,28.90,,,,,,,,,,,,,,,,,,,,,,,
01/02/1992,Ilorin,16.80,22.30,35.70,63.00,6.20,11.10,4.20,8.60,,,,,,,,,,,,,,,,,,,,,,,
01/03/1992,Ilorin,15.90,22.90,35.10,73.00,4.70,8.00,4.60,0.00,,,,,,,,,,,,,,,,,,,,,,,
01/04/1992,Ilorin,16.40,22.80,33.90,74.00,6.40,6.60,4.30,0.25,,,,,,,,,,,,,,,,,,,,,,,
01/05/1992,Ilorin,14.10,22.30,32.20,80.00,7.50,4.00,4.80,90.70,,,,,,,,,,,,,,,,,,,,,,,
01/06/1992,Ilorin,14.80,22.10,30.10,83.00,5.80,3.50,4.80,3.60,,,,,,,,,,,,,,,,,,,,,,,
