year,city,tmin,tmax,rh,sh,sr,ep,ws,rf
01/01/1991,Sokoto,26.4,33.8,15,8.4,16.8,16.7,8.2,0
01/02/1991,Sokoto,18.5,35,17,9,18,19.3,6.9,0
01/03/1991,Sokoto,20.9,38.8,18,8.3,18.9,17.2,5.6,0
01/04/1991,Sokoto,24.9,40.9,25,7.1,16.7,16.9,9.1,7.2
01/05/1991,Sokoto,26.4,39.5,50,8.9,17.3,15.5,10.7,59.3
01/06/1991,Sokoto,24.4,34.9,62,9,11.6,10.1,7.7,138
01/07/1991,Sokoto,23.1,31.4,76,7.3,10.9,5.9,6.4,106.4
01/08/1991,Sokoto,22.5,31.2,78,5,11.1,4.6,6.9,192.9
01/09/1991,Sokoto,23.1,34,69,8.7,16.3,5.5,7.5,40.8
01/10/1991,Sokoto,23,36.2,59,8.4,16.7,10.7,9.2,12.9
01/11/1991,Sokoto,20.7,35.5,29,8.2,12.7,17.7,12.1,0
01/12/1991,Sokoto,15.1,30.4,27,9.5,15.3,17.8,8.6,0
01/01/1992,Sokoto,13.2,29.9,24,8.4,17.8,23.5,12.9,0
01/02/1992,Sokoto,18.3,34.8,16,9.6,15.2,22.8,12.9,0
01/03/1992,Sokoto,23.5,38.7,18,8.7,14.5,22.5,8.9,0
01/04/1992,Sokoto,26.3,39.7,28,7.7,12.2,20.5,10.3,0.25
01/05/1992,Sokoto,24.5,37.5,57,9.6,16.5,13.3,9.2,84.6
01/06/1992,Sokoto,25.8,36.1,58,8.8,15.7,12.2,8.4,54.3
01/07/1992,Sokoto,22.9,31.3,76,8.3,13.2,7.1,7,208.4
01/08/1992,Sokoto,22.3,31.9,73,6.2,17.1,6.9,6,133.4
01/09/1992,Sokoto,21.8,33.1,71,8.1,18.8,6.5,5.1,76.2
01/10/1992,Sokoto,23.2,37.5,45,9.8,17.5,10.5,10.7,0.25
01/11/1992,Sokoto,20,33.5,19,9.9,14.3,22.9,9.9,0
01/12/1992,Sokoto,16.6,33.4,23,9.4,16.3,20.1,7.9,0
01/01/1993,Sokoto,16.2,31.6,20,8.6,18.9,18.4,9.4,0
01/02/1993,Sokoto,18.8,33.5,17,1,18.2,21.2,11.9,0
01/03/1993,Sokoto,24.6,38.1,15,7.7,17.9,22.1,7.3,0
01/04/1993,Sokoto,27.9,40.4,35,8.7,15.6,20.1,8,0
01/05/1993,Sokoto,25.1,39,50,8.6,16.5,15.9,9.4,6
01/06/1993,Sokoto,23.7,37,56,9.5,15.7,12.6,9.1,38.4
01/07/1993,Sokoto,21.3,33.9,69,9,13.2,6.6,6.7,161.2
01/08/1993,Sokoto,22.6,30.3,81,6.1,17.1,4.9,5.2,300.3
01/09/1993,Sokoto,24,33.8,70,8.6,18.8,5.9,4.7,52.1
01/10/1993,Sokoto,23.9,35.9,61,8.6,17.5,12.6,9.9,11.1
01/11/1993,Sokoto,19.9,33.6,20,9.9,14.3,21.1,8.9,0
01/12/1993,Sokoto,17.2,32.6,16,9.1,16.5,19.9,7.8,0.25
01/01/1994,Sokoto,16.3,31.4,21,8.2,15.1,18.3,11.2,0
01/02/1994,Sokoto,15.4,33.4,19,9.9,16.4,22.2,12.6,0
01/03/1994,Sokoto,19.1,38.3,15,9.3,17.3,21.6,7.7,0
01/04/1994,Sokoto,27,41,16,9,16,21.2,9.6,0.25
01/05/1994,Sokoto,28.9,40.7,45,8.4,18,15.7,9.5,44.7
01/06/1994,Sokoto,25.5,35.8,61,9.2,13.9,12.3,10.3,154.3
01/07/1994,Sokoto,28.2,33.1,72,7.8,15,5.4,8.8,229.4
01/08/1994,Sokoto,23.5,31.6,77,4.5,16.5,5.2,5.5,127.9
01/09/1994,Sokoto,23.5,33.2,71,7,14.5,6.2,9,62.2
01/10/1994,Sokoto,23.2,36.6,28,9.6,17.6,17.8,9.4,0.25
01/11/1994,Sokoto,20.6,35.8,19,9.5,14.3,18.4,10.6,0
01/12/1994,Sokoto,19.1,33.6,23,8.5,15.3,18.5,9.1,0
01/01/1995,Sokoto,16.3,30.7,18,9.2,14.9,18.5,12.5,0
01/02/1995,Sokoto,18.8,38.8,12,9.7,17,21.5,11.2,0
01/03/1995,Sokoto,24,39,14,9.5,18.7,21.3,7.2,0
01/04/1995,Sokoto,26.4,40.1,15,8,16.9,22.2,9.1,0.25
01/05/1995,Sokoto,27.3,40.2,42,8.3,16.5,15.5,9.8,28
01/06/1995,Sokoto,25.4,35.6,61,9,15.7,12.5,9.4,95.2
01/07/1995,Sokoto,24.1,33.4,67,8.5,13.2,8.8,8.9,100.6
01/08/1995,Sokoto,24.5,34,65,5.8,17.1,8.6,8.6,117.8
01/09/1995,Sokoto,23.6,33.4,70,7.7,18.8,6.8,8.2,125.4
